FID,ID_FISCALIZACAO_ELETRONICA,DESC_LOC_CONTROLADOR_TRANSITO,DESC_TIPO_CONTROLADOR_TRANSITO,VELOCIDADE_REGULAMENTAR,SENTIDO,SENTIDO_FISCALIZADO,NUM_SERIE_ATUAL,COD_SECUNDARIA,GEOMETRIA
FISCALIZACAO_ELETRONICA.134,134,Av. Afonso Pena esquina com R. Pernambuco,Detector de Avanço de Semáforo,60,Mangabeiras/Praça Rio Branco,Único,268,,POINT (611686.239899965 7796108.20442769)
FISCALIZACAO_ELETRONICA.135,135,Av. Afonso Pena esquina com Av. Getúlio Vargas,Detector de Avanço de Semáforo,60,Mangabeiras/Praça Rio branco,Único,254,,POINT (612096.387160966 7795395.03388778)
FISCALIZACAO_ELETRONICA.136,136,Av. Getúlio Vargas esquina com Av. Afonso Pena,Detector de Avanço de Semáforo,60,Funcionários/Savassi,Único,294,,POINT (612091.294246205 7795426.37349101)
FISCALIZACAO_ELETRONICA.137,137,R. Cláudio Manoel esquina com Av. Getúlio Vargas,Detector de Avanço de Semáforo,60,Funcionários/Savassi,Único,568,,POINT (612106.419358869 7795402.09981271)
FISCALIZACAO_ELETRONICA.138,138,R. Curitiba esquina com Av. Amazonas,Detector de Avanço de Semáforo,60,Centro/Lourdes,Único,292,,POINT (610749.572542194 7796942.18585243)
FISCALIZACAO_ELETRONICA.139,139,Av. Amazonas esquina com R. Curitiba,Detector de Avanço de Semáforo,60,Praça Rui Barbosa/Praça Raul Soares,Único,574,,POINT (610756.2210424 7796935.51922252)
FISCALIZACAO_ELETRONICA.140,140,R. da Bahia esquina com Av. Afonso Pena,Detector de Avanço de Semáforo,60,Praça Rui Barbosa/Praça da Liberdade,Único,269,,POINT (611291.672185937 7796802.92286092)
FISCALIZACAO_ELETRONICA.141,141,R. da Bahia esquina com Av. Augusto de Lima,Detector de Avanço de Semáforo,60,Praça Rui Barbosa/Praça da Liberdade,Único,267,,POINT (611216.92821695 7796518.73656781)
FISCALIZACAO_ELETRONICA.142,142,Av. Afonso Vaz de Melo esquina com R. Boaventura Costa e R. Boaventura Costa esquina com Av. Afonso Vaz de Melo,Detector de Avanço de Semáforo,60,Barreiro/Tirol e Barreiro/Teixeira Dias,Ambos,282,,POINT (602307.4562525 7790998.53180718)
FISCALIZACAO_ELETRONICA.143,143,R. Boaventura Costa esquina com Av. Afonso Vaz de Melo,Detector de Avanço de Semáforo,30,Barreiro/Teixeira Dias,Único,250,,POINT (602302.049112585 7790997.13568729)
FISCALIZACAO_ELETRONICA.144,144,R. Aladin Correa de Faria esquina com Av. Waldyr Soeiro Emrich e R. José dos Santos Lage esquina com Av. Waldyr Soeiro Emrich,Detector de Avanço de Semáforo,30,Miramar/Teixeira Dias e Teixeira Dias/Miramar,Ambos,581,,POINT (602786.765470627 7789117.34966702)
FISCALIZACAO_ELETRONICA.145,145,Av. Vilarinho esquina com Av. Elias Antônio Issa,Detector de Avanço de Semáforo,60,Bairro/Centro,Único,578,,POINT (607860.482997923 7809566.61964377)
FISCALIZACAO_ELETRONICA.146,146,Av. Vilarinho esquina com Av. Baleares,Detector de Avanço de Semáforo,60,Centro/Bairro,Único,577,,POINT (607863.012759362 7809610.19936922)
FISCALIZACAO_ELETRONICA.326,326,"Av. Raja Gabáglia, 1710",Detector de Trânsito em Local Proibido,60,Centro/Bairro,Único,122420151,,POINT (608691.099676962 7793763.17591618)
FISCALIZACAO_ELETRONICA.327,327,"Av. Raja Gabáglia, 1799",Detector de Trânsito em Local Proibido,60,Bairro/Centro,Único,122420149,,POINT (608702.598125718 7793752.58490289)
FISCALIZACAO_ELETRONICA.328,328,"Av. Raja Gabáglia, 1799",Detector de Avanço de Semáforo,60,Bairro/Centro,Único,122420149,,POINT (608699.244227963 7793753.13164608)
FISCALIZACAO_ELETRONICA.329,329,Av. Dom Pedro II esquina com R. Espinosa,Detector de Avanço de Semáforo,60,Centro/Bairro,Único,122420173,,POINT (608994.090613327 7798318.39621562)
FISCALIZACAO_ELETRONICA.330,330,Av. Dom Pedro II esquina com R. Espinosa,Detector de Avanço de Semáforo,60,Centro/Bairro,Único,122420170,,POINT (608995.756004007 7798322.04593546)
FISCALIZACAO_ELETRONICA.331,331,Av. Dom Pedro II esquina com R. Espinosa,Detector de Trânsito em Local Proibido,60,Centro/Bairro,Único,122420170,,POINT (609000.127880408 7798319.43039993)
FISCALIZACAO_ELETRONICA.332,332,Av. Dom Pedro II esquina com R. Espinosa,Detector de Trânsito em Local Proibido,60,Centro/Bairro,Único,122420173,,POINT (608998.095708314 7798315.90058325)
FISCALIZACAO_ELETRONICA.333,333,Av. Dom Pedro II esquina com R. Espinosa,Detector de Trânsito em Local Proibido,60,Bairro/Centro,Único,122420169,,POINT (608976.835828573 7798316.03216043)
FISCALIZACAO_ELETRONICA.334,334,Av. Dom Pedro II esquina com R. Espinosa,Detector de Avanço de Semáforo,60,Bairro/Centro,Único,122420169,,POINT (608980.35782895 7798314.20696353)
FISCALIZACAO_ELETRONICA.335,335,Av. Dom Pedro II esquina com R. Espinosa,Detector de Trânsito em Local Proibido,60,Bairro/Centro,Único,405405038,,POINT (608975.232867361 7798312.95053549)
FISCALIZACAO_ELETRONICA.336,336,Av. Dom Pedro II esquina com R. Espinosa,Detector de Avanço de Semáforo,60,Bairro/Centro,Único,405405038,,POINT (608978.692356433 7798310.86809702)
FISCALIZACAO_ELETRONICA.337,337,"Av. Presidente Antônio Carlos, 1089",Detector de Avanço de Semáforo,60,Bairro/Centro,Único,122420146,,POINT (610340.938948635 7799109.29638476)
FISCALIZACAO_ELETRONICA.338,338,"Av. Presidente Antônio Carlos, 1089",Detector de Avanço de Semáforo,60,Bairro/Centro,Único,122420157,,POINT (610344.763139672 7799111.68871568)
FISCALIZACAO_ELETRONICA.339,339,"Av. Presidente Antônio Carlos, 1089",Detector de Trânsito em Local Proibido,60,Bairro/Centro,Único,122420157,,POINT (610342.250672288 7799116.00006803)
FISCALIZACAO_ELETRONICA.340,340,"Av. Presidente Antônio Carlos, 1089",Detector de Trânsito em Local Proibido,60,Bairro/Centro,Único,122420146,,POINT (610336.899494694 7799113.08034843)
FISCALIZACAO_ELETRONICA.341,341,"Av. Presidente Antônio Carlos, oposto ao 1089",Detector de Trânsito em Local Proibido,60,Centro/Bairro,Único,122420158,,POINT (610370.207315647 7799119.58360491)
FISCALIZACAO_ELETRONICA.342,342,"Av. Presidente Antônio Carlos, oposto ao 1089",Detector de Avanço de Semáforo,60,Centro/Bairro,Único,122420158,,POINT (610366.954905476 7799127.38978453)
FISCALIZACAO_ELETRONICA.343,343,"Av. Presidente Antônio Carlos, oposto ao 1089",Detector de Trânsito em Local Proibido,60,Centro/Bairro,Único,393205018,,POINT (610375.8225307 7799124.11251646)
FISCALIZACAO_ELETRONICA.344,344,"Av. Presidente Antônio Carlos, oposto ao 1089",Detector de Avanço de Semáforo,60,Centro/Bairro,Único,393205018,,POINT (610372.563394138 7799130.84483536)
FISCALIZACAO_ELETRONICA.345,345,Av. do Contorno esquina com Av. Afonso Pena,Detector de Avanço de Semáforo,60,Funcionários/Savassi,Único,122420156,,POINT (612377.80562079 7794939.5893377)
FISCALIZACAO_ELETRONICA.346,346,Av. do Contorno esquina com Av. Afonso Pena,Detector de Avanço de Semáforo,60,Funcionários/Savassi,Único,405405037,,POINT (612380.519435834 7794936.1529949)
FISCALIZACAO_ELETRONICA.347,347,Av. do Contorno esquina com Av. Afonso Pena,Detector de Trânsito em Local Proibido,60,Funcionários/Savassi,Único,122420156,,POINT (612380.932827809 7794942.46234437)
FISCALIZACAO_ELETRONICA.348,348,Av. do Contorno esquina com Av. Afonso Pena,Detector de Trânsito em Local Proibido,60,Funcionários/Savassi,Único,405405037,,POINT (612384.02052911 7794939.15511089)
